predicted_priority_rank,platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,predictive_rank_score,decision_band,explanation_index,signal_decomposition_index,action_band,risk_flag,top_positive_signal,top_negative_signal,model_probability_raw,probability_band,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,ranking_basis,score_role
58,ba_14692216,2025-09,본죽&비빔밥 조치원죽림점,본그룹,백반·죽·국수,세종특별자치시,조치원읍,0.4698795180722891,Priority Review,75.24,75.24,Secondary Review,none,review_growth,growth_alpha,0.4698795180722891,2,93.3551854768904,31.09532674725077,100.0,96.62466088039383,52.94824455466919,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
59,ba_14640352,2025-09,본죽&비빔밥 광주삼각점,본그룹,백반·죽·국수,광주광역시,북구,0.4698795180722891,Priority Review,75.1,75.1,Secondary Review,none,operation,review_growth,0.4698795180722891,2,93.08810219317286,59.56642063403955,32.33081578947369,98.17049890352752,80.56716638449892,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
60,ba_14692439,2025-09,본죽&비빔밥 청주오송파라곤점,본그룹,백반·죽·국수,충청북도,청주시,0.4698795180722891,Priority Review,74.48,74.48,Secondary Review,none,operation,review_growth,0.4698795180722891,2,94.52153122210164,54.171132357734685,44.44444736842106,95.27639317005416,68.96715730214564,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
61,ba_14736683,2025-09,본죽&비빔밥 신림녹두거리점,본그룹,백반·죽·국수,서울특별시,관악구,0.4698795180722891,Priority Review,74.33,74.33,Secondary Review,none,operation,stability,0.4698795180722891,2,90.84212154635804,56.0191123171487,62.44826315789474,98.18097611708478,53.4482093548403,66.17061686357991,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
62,ba_14691953,2025-09,본죽&비빔밥 순천오천점,본그룹,백반·죽·국수,전라남도,순천시,0.4698795180722891,Priority Review,74.07,74.07,Secondary Review,none,operation,review_growth,0.4698795180722891,2,92.52635585407592,50.86503648365911,39.359263157894745,96.62256543768238,85.6810137700339,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
63,ba_13233778,2025-09,본죽&비빔밥 포항효자점,본그룹,백반·죽·국수,경상북도,포항시,0.4698795180722891,Priority Review,73.9,73.9,Secondary Review,none,model_probability,market_fit,0.4698795180722891,2,93.25953368915312,58.39483317626628,50.65789473684211,78.24030280430104,73.25755471242137,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
64,ba_14691036,2025-09,본죽&비빔밥 대구다사역점,본그룹,백반·죽·국수,대구광역시,달성군,0.4698795180722891,Priority Review,73.69,73.69,Secondary Review,none,operation,review_growth,0.4698795180722891,2,89.59471164593478,61.430740076022936,23.87218421052632,97.54635632447376,87.64231952853014,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
65,ba_14691037,2025-09,본죽&비빔밥 대전학하점,본그룹,백반·죽·국수,대전광역시,유성구,0.4698795180722891,Priority Review,73.56,73.56,Secondary Review,none,operation,review_growth,0.4698795180722891,2,90.66890310153693,56.08961374804508,27.631578947368425,96.70937663572823,91.490052329282,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
66,ba_14268780,2025-09,본죽&비빔밥 세종집현점,본그룹,백반·죽·국수,세종특별자치시,남세종로,0.4698795180722891,Priority Review,73.17,73.17,Secondary Review,none,operation,review_growth,0.4698795180722891,2,88.97945958724145,67.60025821703323,9.09092105263158,96.13582403070806,93.44969247149182,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
67,ba_14691042,2025-09,본죽 대구서재점,본그룹,백반·죽·국수,대구광역시,달성군,0.4698795180722891,Priority Review,73.1,73.1,Secondary Review,none,operation,review_growth,0.4698795180722891,2,89.4531597564273,47.6034141537276,46.59442105263159,99.0377128371097,80.41558864619213,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
68,ba_14689940,2025-09,본죽&비빔밥 안양성원점,본그룹,백반·죽·국수,경기도,안양시,0.4698795180722891,Priority Review,73.07,73.07,Secondary Review,none,operation,review_growth,0.4698795180722891,2,91.37892930864469,61.70405505718348,14.473684210526317,97.1913284593621,89.14356503779959,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
