platform_shop_id,year_month,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_14715313,2025-08,0.0625,9.125,2.0,0.0,0.0,0.008928571428571428,0.0,0,치킨,굽네치킨
ba_14715313,2025-09,0.6842105263157895,99.89473684210526,20.526315789473685,0.21052631578947367,0.21052631578947367,0.3308270676691729,0.10526315789473684,0,치킨,굽네치킨
ba_14716102,2025-08,1.0,182.8,39.0,0.0,0.0,0.5714285714285714,0.2,1,백반·죽·국수,본그룹
ba_14716102,2025-09,1.0,180.83333333333334,38.666666666666664,0.5,0.5,0.3095238095238095,0.027777777777777776,1,백반·죽·국수,본그룹
ba_14716332,2025-09,0.9921259842519685,354.6062992125984,79.49606299212599,0.9606299212598425,0.9606299212598425,0.01124859392575928,0.007874015748031496,0,치킨,굽네치킨
ba_14716332,2025-07,0.9893617021276596,350.3723404255319,79.14893617021276,0.9893617021276596,0.9893617021276596,0.0,0.0,0,치킨,굽네치킨
ba_14716332,2025-08,1.0,357.01612903225805,80.80645161290323,1.0,1.0,0.002304147465437788,0.0026881720430107525,1,치킨,굽네치킨
ba_14719522,2025-08,1.0,204.0,47.0,0.0,0.0,0.5714285714285714,0.0,0,백반·죽·국수,본그룹
ba_14719522,2025-09,1.0,242.0,54.5,0.0,0.0,0.14285714285714285,0.0,0,백반·죽·국수,본그룹
ba_14719554,2025-08,0.8888888888888888,158.4814814814815,34.407407407407405,0.037037037037037035,0.037037037037037035,0.291005291005291,0.11728395061728394,1,백반·죽·국수,본그룹
ba_14719554,2025-07,0.6521739130434783,101.43478260869566,21.695652173913043,0.17391304347826086,0.17391304347826086,0.2670807453416149,0.10144927536231883,0,백반·죽·국수,본그룹
ba_14719554,2025-09,1.0,174.76,37.88,0.16,0.16,0.4914285714285714,0.24,1,백반·죽·국수,본그룹
ba_14720262,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_14720263,2025-09,1.0,177.0,38.666666666666664,0.0,0.0,0.23809523809523805,0.1111111111111111,0,피자,굽네치킨
ba_14720368,2025-07,1.0,163.75,34.5,0.25,0.25,0.3571428571428571,0.125,0,백반·죽·국수,본그룹
ba_14720368,2025-08,1.0,197.71428571428572,42.142857142857146,0.23809523809523808,0.23809523809523808,0.48979591836734687,0.20634920634920634,0,백반·죽·국수,본그룹
ba_14720368,2025-09,1.0,180.75,38.4375,0.125,0.125,0.4732142857142857,0.19791666666666666,1,백반·죽·국수,본그룹
ba_14721018,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,치킨,굽네치킨
ba_14721018,2025-08,0.75,116.75,25.25,0.5,0.5,0.21428571428571427,0.08333333333333333,0,치킨,굽네치킨
ba_14721018,2025-09,1.0,184.6,41.2,0.0,0.0,0.2571428571428571,0.16666666666666666,0,치킨,굽네치킨
ba_14725485,2025-08,1.0,103.5,19.0,0.0,0.0,0.14285714285714285,0.0,1,치킨,굽네치킨
ba_14725627,2025-07,1.0,150.0,32.0,0.0,0.0,0.42857142857142855,0.0,1,백반·죽·국수,본그룹
ba_14725627,2025-09,1.0,195.42857142857142,42.285714285714285,0.14285714285714285,0.14285714285714285,0.3469387755102041,0.14285714285714285,0,백반·죽·국수,본그룹
ba_14726472,2025-07,1.0,129.82291666666666,28.114583333333332,0.1875,0.1875,0.4047619047619047,0.1440972222222222,0,치킨,굽네치킨
ba_14726472,2025-08,1.0,112.5945945945946,24.054054054054053,0.13513513513513514,0.13513513513513514,0.24517374517374516,0.0518018018018018,1,치킨,굽네치킨
ba_14726472,2025-09,1.0,113.62337662337663,24.16883116883117,0.1038961038961039,0.1038961038961039,0.3191094619666048,0.08008658008658008,1,치킨,굽네치킨
ba_14726741,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,백반·죽·국수,본그룹
ba_14726741,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,백반·죽·국수,본그룹
ba_14727030,2025-07,1.0,226.0,51.5,0.0,0.0,0.25,0.08333333333333333,1,백반·죽·국수,본그룹
ba_14727030,2025-08,1.0,255.2,54.8,0.0,0.0,0.42857142857142855,0.13333333333333333,1,백반·죽·국수,본그룹
ba_14727030,2025-09,1.0,224.77777777777777,50.111111111111114,0.0,0.0,0.2698412698412698,0.09259259259259259,0,백반·죽·국수,본그룹
ba_14727064,2025-07,1.0,270.0,59.166666666666664,0.0,0.0,0.4047619047619047,0.16666666666666666,1,백반·죽·국수,본그룹
ba_14727064,2025-08,1.0,224.44444444444446,50.44444444444444,0.1111111111111111,0.1111111111111111,0.36507936507936506,0.14814814814814814,1,백반·죽·국수,본그룹
ba_14727064,2025-09,1.0,227.9,49.9,0.1,0.1,0.4,0.2,0,백반·죽·국수,본그룹
ba_14728444,2025-07,0.6666666666666666,154.33333333333334,34.666666666666664,0.0,0.0,0.3333333333333333,0.16666666666666666,1,백반·죽·국수,본그룹
ba_14728444,2025-08,1.0,174.0,36.333333333333336,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.1111111111111111,0,백반·죽·국수,본그룹
