scenario,scenario_label,platform_shop_id,shop_name,brand,category,sido,sigungu,score,grade
official_current,현재 공식 가중치,ba_14688555,본죽 수원인계점,본그룹,백반·죽·국수,경기도,수원시,76.1665,B
official_current,현재 공식 가중치,ba_14692194,본죽&비빔밥 익산영등제일점,본그룹,백반·죽·국수,전북특별자치도,익산시,75.9344,B
official_current,현재 공식 가중치,ba_14688197,본죽 인왕산점,본그룹,백반·죽·국수,서울특별시,서대문구,75.8360,B
official_current,현재 공식 가중치,ba_14689415,본죽&비빔밥 수원탑동점,본그룹,백반·죽·국수,경기도,수원시,75.7772,B
official_current,현재 공식 가중치,ba_14457403,본죽&비빔밥 부산연제점,본그룹,백반·죽·국수,부산광역시,연제구,75.7031,B
official_current,현재 공식 가중치,ba_14687119,본죽 성균관대점,본그룹,백반·죽·국수,서울특별시,종로구,75.6562,B
official_current,현재 공식 가중치,ba_14690665,본죽&비빔밥 장유신문점,본그룹,백반·죽·국수,경상남도,김해시,75.6500,B
official_current,현재 공식 가중치,ba_14688931,본죽&비빔밥 고양덕은점,본그룹,백반·죽·국수,경기도,고양시,75.4709,B
official_current,현재 공식 가중치,ba_14691179,본죽&비빔밥 내당삼익뉴타운점,본그룹,백반·죽·국수,대구광역시,서구,75.4557,B
official_current,현재 공식 가중치,ba_14691976,본죽&비빔밥 부산전포점,본그룹,백반·죽·국수,부산광역시,부산진구,75.4425,B
official_current,현재 공식 가중치,ba_14691401,본죽&비빔밥 대구대학교점,본그룹,백반·죽·국수,경상북도,경산시,75.2905,B
official_current,현재 공식 가중치,ba_14691998,본죽&비빔밥 부산엄궁점,본그룹,백반·죽·국수,부산광역시,사상구,75.2065,B
official_current,현재 공식 가중치,ba_13973813,굽네피자 선부3동점,굽네치킨,피자,경기도,안산시,75.1534,B
official_current,현재 공식 가중치,ba_14692216,본죽&비빔밥 조치원죽림점,본그룹,백반·죽·국수,세종특별자치시,조치원읍,75.1342,B
official_current,현재 공식 가중치,ba_14691101,본죽&비빔밥 대구율하점,본그룹,백반·죽·국수,대구광역시,동구,75.1030,B
official_current,현재 공식 가중치,ba_14689936,본죽&비빔밥 안양박달점,본그룹,백반·죽·국수,경기도,안양시,74.9028,B
official_current,현재 공식 가중치,ba_14692439,본죽&비빔밥 청주오송파라곤점,본그룹,백반·죽·국수,충청북도,청주시,74.8570,B
official_current,현재 공식 가중치,ba_14687368,본죽&비빔밥 장안동점,본그룹,백반·죽·국수,서울특별시,동대문구,74.7430,B
official_current,현재 공식 가중치,ba_14689757,본죽&비빔밥 인천연수점,본그룹,백반·죽·국수,인천광역시,연수구,74.6351,B
official_current,현재 공식 가중치,ba_14691059,본죽 대구세천점,본그룹,백반·죽·국수,대구광역시,달성군,74.5778,B
official_current,현재 공식 가중치,ba_14691375,본죽&비빔밥 경산중산점,본그룹,백반·죽·국수,경상북도,경산시,74.5133,B
official_current,현재 공식 가중치,ba_14613531,본죽&비빔밥 백양산롯데캐슬점,본그룹,백반·죽·국수,부산광역시,부산진구,74.4712,B
official_current,현재 공식 가중치,ba_13230813,본죽&비빔밥 용인물푸레마을점,본그룹,백반·죽·국수,경기도,용인시,74.4428,B
official_current,현재 공식 가중치,ba_13539851,굽네치킨 소답점,굽네치킨,치킨,경상남도,창원시,74.3915,B
official_current,현재 공식 가중치,ba_14691953,본죽&비빔밥 순천오천점,본그룹,백반·죽·국수,전라남도,순천시,74.3749,B
official_current,현재 공식 가중치,ba_14691150,본죽 다사죽곡점,본그룹,백반·죽·국수,대구광역시,달성군,74.3259,B
official_current,현재 공식 가중치,ba_14691969,본죽&비빔밥 부산사직점,본그룹,백반·죽·국수,부산광역시,동래구,74.3207,B
official_current,현재 공식 가중치,ba_14692121,본죽&비빔밥 부산법조타운점,본그룹,백반·죽·국수,부산광역시,연제구,74.2972,B
official_current,현재 공식 가중치,ba_13233856,본죽 세종아름점,본그룹,백반·죽·국수,세종특별자치시,보듬3로,74.1628,B
official_current,현재 공식 가중치,ba_13233778,본죽&비빔밥 포항효자점,본그룹,백반·죽·국수,경상북도,포항시,74.0905,B
official_current,현재 공식 가중치,ba_14691037,본죽&비빔밥 대전학하점,본그룹,백반·죽·국수,대전광역시,유성구,74.0659,B
official_current,현재 공식 가중치,ba_14688088,본죽&비빔밥 대흥역점,본그룹,백반·죽·국수,서울특별시,마포구,74.0484,B
official_current,현재 공식 가중치,ba_13596071,본죽&비빔밥 연신갈현점,본그룹,백반·죽·국수,서울특별시,은평구,73.8981,B
official_current,현재 공식 가중치,ba_13224710,본죽 안양관양동점,본그룹,백반·죽·국수,경기도,안양시,73.8833,B
official_current,현재 공식 가중치,ba_14732355,본죽&비빔밥 속초점,본그룹,백반·죽·국수,강원특별자치도,속초시,73.8738,B
official_current,현재 공식 가중치,ba_14688963,본죽 고양점,본그룹,백반·죽·국수,경기도,고양시,73.8495,B
official_current,현재 공식 가중치,ba_14688337,본죽&비빔밥 장위뉴타운점,본그룹,백반·죽·국수,서울특별시,성북구,73.7841,B
official_current,현재 공식 가중치,ba_14691042,본죽 대구서재점,본그룹,백반·죽·국수,대구광역시,달성군,73.7825,B
official_current,현재 공식 가중치,ba_14691269,본죽 대전도마사거리점,본그룹,백반·죽·국수,대전광역시,서구,73.7555,B
official_current,현재 공식 가중치,ba_14691005,본죽&비빔밥 광주화정점,본그룹,백반·죽·국수,광주광역시,서구,73.6549,B
official_current,현재 공식 가중치,ba_14574885,본죽&비빔밥 청주분평점,본그룹,백반·죽·국수,충청북도,청주시,73.5994,B
official_current,현재 공식 가중치,ba_13226530,본죽&비빔밥 목동사거리점,본그룹,백반·죽·국수,서울특별시,양천구,73.5303,B
official_current,현재 공식 가중치,ba_14691187,본죽&비빔밥 대구평리뉴타운점,본그룹,백반·죽·국수,대구광역시,서구,73.3546,B
official_current,현재 공식 가중치,ba_13472981,굽네피자,굽네치킨,피자,경상북도,상주시,73.2590,B
official_current,현재 공식 가중치,ba_14692060,본죽&비빔밥 돌곶이역점,본그룹,백반·죽·국수,서울특별시,성북구,73.2304,B
official_current,현재 공식 가중치,ba_14760742,본죽&비빔밥 용인신갈점,본그룹,백반·죽·국수,경기도,용인시,73.1843,B
official_current,현재 공식 가중치,ba_14689761,본죽&비빔밥 송도글로벌캠퍼스점,본그룹,백반·죽·국수,인천광역시,연수구,73.1510,B
official_current,현재 공식 가중치,ba_14276685,본죽 철원점,본그룹,백반·죽·국수,강원특별자치도,철원군,73.0797,B
official_current,현재 공식 가중치,ba_14687335,본죽&비빔밥 광운대역점,본그룹,백반·죽·국수,서울특별시,노원구,73.0708,B
official_current,현재 공식 가중치,ba_14691292,본죽&비빔밥 대구신매시장점,본그룹,백반·죽·국수,대구광역시,수성구,73.0397,B
official_current,현재 공식 가중치,ba_14687326,본죽&비빔밥 개봉점,본그룹,백반·죽·국수,서울특별시,구로구,73.0051,B
official_current,현재 공식 가중치,ba_14352915,본죽&비빔밥 대구다사역점,본그룹,백반·죽·국수,대구광역시,달성군,72.9944,B
official_current,현재 공식 가중치,ba_14691036,본죽&비빔밥 대구다사역점,본그룹,백반·죽·국수,대구광역시,달성군,72.9222,B
official_current,현재 공식 가중치,ba_14691974,본죽&비빔밥 부산율리점,본그룹,백반·죽·국수,부산광역시,북구,72.8695,B
official_current,현재 공식 가중치,ba_13973745,굽네피자 가산점,굽네치킨,피자,서울특별시,금천구,72.8368,B
official_current,현재 공식 가중치,ba_14702996,본죽&비빔밥 사당연세사랑병원점,본그룹,백반·죽·국수,서울특별시,서초구,72.8309,B
official_current,현재 공식 가중치,ba_14687382,본죽&비빔밥 노량진점,본그룹,백반·죽·국수,서울특별시,동작구,72.8120,B
official_current,현재 공식 가중치,ba_14691044,본죽&비빔밥 대구대곡역점,본그룹,백반·죽·국수,대구광역시,달성군,72.7717,B
official_current,현재 공식 가중치,ba_14692246,본죽&비빔밥 천안성성점,본그룹,백반·죽·국수,충청남도,천안시,72.6993,B
official_current,현재 공식 가중치,ba_14692012,본죽&비빔밥 여수여서점,본그룹,백반·죽·국수,전라남도,여수시,72.6347,B
official_current,현재 공식 가중치,ba_13234790,굽네치킨 덕정점,굽네치킨,치킨,경기도,양주시,72.5472,B
official_current,현재 공식 가중치,ba_14640352,본죽&비빔밥 광주삼각점,본그룹,백반·죽·국수,광주광역시,북구,72.5368,B
official_current,현재 공식 가중치,ba_14690806,본죽&비빔밥 광주백운대성초교점,본그룹,백반·죽·국수,광주광역시,남구,72.4738,B
official_current,현재 공식 가중치,ba_14392310,굽네피자 등촌2동점,굽네치킨,피자,서울특별시,강서구,72.4263,B
official_current,현재 공식 가중치,ba_13233592,본죽&비빔밥 대구대학교점,본그룹,백반·죽·국수,경상북도,경산시,72.3757,B
